site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,70;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;21,84;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;20,39;;;;;;;
Knysna;SAWS;Knysna/ SAWS;February;18,89;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;17,82;18,78052381;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,30;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,54;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,58;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,32;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;21,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;16,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,02;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,27;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;17,71;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;14,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,90;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,81;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,27;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,78;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;16,29;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,53;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;17,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;18,61;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,97;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;22,24;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;21,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,87;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;15,75;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;17,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;21,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;20,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,20;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;16,84;;;;;;;
Knysna;SAWS;Knysna/ SAWS;March;19,66;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,65;17,16684091;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;13,69;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;14,28;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,10;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,66;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,32;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;15,96;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,17;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,73;;;;;;;
