Station_ID;Re_hi;An_de;An_mi;Hi_pl;An_lu;Me_ae;Ra_ra;Mi_po;Ar_at;No_rk;Lu_la;Ma_vi;Bo_sa;Cy_lu;Cl_ha;Se_me;Le_de;Ga_mo;Le_ma;Se_ma;Tr_es;Ly_pa;Ly_eu;Ly_re;Ly_se;Ly_es;Ly_va;Be_gl;Ca_re;Tr_spp;ID_sum
383;0;0;0;16;0;122;0;0;0;0;0;76;0;0;7;13;0;66;0;2;108;0;0;0;0;0;17;0;0;0;427
384;0;0;0;13;0;231;0;7;0;0;0;230;0;2;57;179;0;9;0;0;12;0;0;0;0;0;1;0;0;0;741
385;0;2;0;46;0;119;0;4;2;0;0;41;0;0;25;30;0;166;0;0;91;0;0;0;0;0;7;0;0;0;533
386;0;0;0;34;0;1179;0;1;0;0;0;8;0;0;2;0;0;213;0;0;23;0;0;0;0;0;2;0;0;0;1462
387;1;0;2;47;0;112;4;8;0;0;0;3;0;0;0;30;0;210;0;0;10;0;0;0;0;0;10;0;1;0;438
388;2;0;2;133;0;86;2;0;1;0;0;59;0;0;0;48;0;1403;0;0;0;0;0;0;0;0;0;0;1;0;1737
389;0;9;2;68;0;28;2;2;16;0;0;39;0;0;0;21;0;671;0;7;0;0;0;0;0;0;7;0;0;0;872
390;1;2;0;219;0;3;3;0;6;0;0;14;0;0;0;0;1;611;0;0;0;0;0;0;0;0;1;0;0;0;861
391;3;2;1;161;0;3;13;1;6;1;0;2;0;0;0;21;1;97;0;0;1;0;0;0;0;0;7;0;1;0;321
392;0;0;0;554;0;2;11;0;16;0;2;12;0;0;0;0;0;265;13;6;0;0;0;0;0;0;0;0;0;2;883
393;5;6;0;450;0;0;9;0;11;1;0;46;0;0;0;0;0;31;1;0;0;0;0;0;0;0;1;0;0;0;561
394;0;0;0;59;0;13;5;0;8;0;2;9;0;0;0;0;2;303;0;0;0;0;0;1;0;0;1;0;3;0;406
395;9;22;0;132;0;57;24;1;1;0;0;9;0;0;0;106;0;522;0;0;1;0;0;0;0;0;27;0;0;0;911
396;3;1;0;77;0;148;10;1;0;1;0;12;0;0;0;196;0;162;0;0;1;0;0;0;0;0;19;2;4;0;637
397;1;2;1;179;0;173;3;1;0;0;0;11;0;0;0;335;0;144;0;0;4;0;0;0;0;0;6;0;1;0;861
398;0;0;1;49;0;189;0;0;2;0;1;3;0;0;0;94;0;187;0;0;5;0;0;0;0;0;11;0;2;0;544
399;0;0;0;33;0;74;1;0;10;0;0;26;0;0;0;17;0;101;0;4;1;0;0;0;0;0;4;0;0;0;271
400;0;0;0;87;0;294;0;0;3;0;0;22;0;0;1;181;0;142;0;0;114;0;0;0;0;0;15;0;0;0;859
401;0;5;0;40;0;63;1;2;0;0;0;7;0;2;0;256;0;141;0;0;0;0;0;0;0;1;12;0;1;0;531
402;8;0;0;82;0;30;3;5;0;8;0;0;0;0;0;1107;0;62;0;1;0;0;1;0;0;0;7;0;1;0;1315
403;18;1;1;68;0;42;11;0;0;1;0;8;0;0;0;637;0;45;0;0;0;0;2;0;0;0;1;0;2;0;837
404;5;1;1;60;0;44;0;2;0;2;0;1;0;0;0;0;1;230;0;0;0;0;0;0;0;0;7;0;0;0;354
